,Dev,Acq,Oth,m,f
0,1080.0,3780.0000000000005,539.9999999999995,0.49,0.311
1,2255.0,5412.0,1353.0,0.48,0.32
2,1713.5999999999997,3198.7199999999993,799.6800000000003,0.45,0.35
3,2490.0,5677.200000000001,1792.7999999999993,0.42,0.38
4,2791.88,6335.42,1610.6999999999998,0.42,0.38
5,3499.2000000000003,6739.2,2721.5999999999995,0.45,0.35
6,9180.16,8554.24,3129.6000000000004,0.46,0.34
7,16593.36,13206.960000000001,4063.6799999999985,0.48,0.32
8,18322.199999999997,9477.000000000002,3790.800000000001,0.53,0.27
9,16204.8,13166.4,4388.800000000001,0.53,0.27
10,17136.0,14637.000000000002,3926.999999999998,0.52,0.28
11,16797.52,16406.88,5859.5999999999985,0.53,0.27
12,18851.2,17536.0,7452.799999999999,0.53,0.27
