date,yhat,region
1/1/18,3086.825249,National
1/4/18,2600.134835,National
1/5/18,2611.752236,National
1/6/18,2894.768464,National
1/7/18,2384.195965,National
1/8/18,2414.312125,National
1/9/18,2337.843131,National
1/10/18,2119.763033,National
1/11/18,1805.274693,National
1/12/18,1810.744017,National
1/13/18,2105.530319,National
1/14/18,1624.303718,National
1/15/18,1700.535404,National
1/16/18,1685.701848,National
1/19/18,1418.239897,National
1/20/18,1816.741954,National
1/21/18,1443.358612,National
1/22/18,1628.683675,National
1/23/18,1721.288571,National
1/24/18,1681.632834,National
1/26/18,1738.393032,National
1/27/18,2210.830439,National
1/28/18,1897.460708,National
1/29/18,2127.346926,National
1/30/18,2247.95737,National
2/1/18,2081.073085,National
2/2/18,2245.67105,National
2/3/18,2678.198904,National
2/4/18,2309.86862,National
2/5/18,2471.38875,National
2/6/18,2512.242979,National
2/7/18,2394.575073,National
2/9/18,2226.822873,National
2/10/18,2559.469948,National
2/11/18,2093.282892,National
2/12/18,2161.799723,National
2/13/18,2117.200079,National
2/16/18,1644.157072,National
2/17/18,1943.376641,National
2/18/18,1460.434066,National
2/19/18,1529.468911,National
2/20/18,1502.788913,National
2/21/18,1344.67775,National
2/23/18,1182.121607,National
2/24/18,1560.845885,National
2/25/18,1168.692006,National
2/26/18,1337.46385,National
2/28/18,1368.508421,National
3/1/18,1233.726492,National
3/2/18,1424.869047,National
3/3/18,1907.110635,National
3/4/18,1610.906168,National
3/5/18,1865.593887,National
3/6/18,2018.709832,National
3/7/18,2029.924174,National
3/8/18,1939.16231,National
3/9/18,2157.678284,National
3/10/18,2650.01955,National
3/11/18,2346.470306,National
3/12/18,2576.655782,National
3/13/18,2688.845449,National
3/14/18,2643.865916,National
3/16/18,2619.950599,National
3/17/18,3020.879687,National
3/18/18,2618.66131,National
3/19/18,2745.482676,National
3/20/18,2752.263299,National
3/21/18,2602.494942,National
3/23/18,2381.165588,National
3/24/18,2694.2357,National
3/25/18,2214.185344,National
3/26/18,2274.929146,National
3/27/18,2228.765722,National
3/28/18,2040.185026,National
3/29/18,1753.86046,National
3/30/18,1785.596867,National
3/31/18,2104.176883,National
4/2/18,1737.072335,National
4/3/18,1735.269432,National
4/4/18,1601.148476,National
4/5/18,1377.511507,National
4/6/18,1478.107326,National
4/8/18,1483.669618,National
4/9/18,1651.185785,National
4/10/18,1720.897247,National
4/11/18,1653.643756,National
4/12/18,1490.39649,National
4/13/18,1643.314017,National
4/14/18,2077.693298,National
4/15/18,1724.40318,National
4/16/18,1913.482863,National
4/17/18,1993.443346,National
4/20/18,1881.021063,National
4/21/18,2284.34718,National
4/22/18,1892.225206,National
