date,yhat,region,category
1/1/18,257.4514111,Central,Office Supplies
1/4/18,418.9758927,Central,Office Supplies
1/6/18,385.8968682,Central,Office Supplies
1/7/18,547.8985507,Central,Office Supplies
1/8/18,386.6188816,Central,Office Supplies
1/10/18,557.470032,Central,Office Supplies
1/12/18,491.5073986,Central,Office Supplies
1/13/18,509.3693869,Central,Office Supplies
1/15/18,485.9482325,Central,Office Supplies
1/16/18,633.5136458,Central,Office Supplies
1/19/18,512.6479397,Central,Office Supplies
1/20/18,506.8702393,Central,Office Supplies
1/21/18,633.9180983,Central,Office Supplies
1/22/18,434.5117333,Central,Office Supplies
1/26/18,370.9008563,Central,Office Supplies
1/28/18,458.3552968,Central,Office Supplies
1/29/18,246.2325093,Central,Office Supplies
1/30/18,359.9633767,Central,Office Supplies
2/1/18,269.6341762,Central,Office Supplies
2/3/18,145.0907323,Central,Office Supplies
2/6/18,189.9708573,Central,Office Supplies
2/7/18,164.7735546,Central,Office Supplies
2/9/18,49.61629632,Central,Office Supplies
2/10/18,51.38727116,Central,Office Supplies
2/11/18,192.7880647,Central,Office Supplies
2/12/18,14.19327476,Central,Office Supplies
2/13/18,164.272826,Central,Office Supplies
2/16/18,87.14155432,Central,Office Supplies
2/17/18,106.9267899,Central,Office Supplies
2/20/18,260.1113138,Central,Office Supplies
2/25/18,372.3664761,Central,Office Supplies
3/2/18,257.63475,Central,Office Supplies
3/3/18,262.4210296,Central,Office Supplies
3/4/18,401.2097991,Central,Office Supplies
3/7/18,331.0725875,Central,Office Supplies
3/9/18,210.136934,Central,Office Supplies
3/10/18,201.9863944,Central,Office Supplies
3/11/18,329.2263288,Central,Office Supplies
3/12/18,132.6643242,Central,Office Supplies
3/13/18,261.4673723,Central,Office Supplies
3/17/18,97.41528375,Central,Office Supplies
3/18/18,225.7157579,Central,Office Supplies
3/20/18,165.1389107,Central,Office Supplies
3/21/18,143.9673074,Central,Office Supplies
3/23/18,31.27508102,Central,Office Supplies
3/24/18,31.56982099,Central,Office Supplies
3/25/18,169.8193186,Central,Office Supplies
3/26/18,-13.44924527,Central,Office Supplies
3/29/18,103.2467723,Central,Office Supplies
3/30/18,29.98220033,Central,Office Supplies
3/31/18,41.05824174,Central,Office Supplies
4/3/18,170.016838,Central,Office Supplies
4/6/18,94.14328931,Central,Office Supplies
4/8/18,267.0669406,Central,Office Supplies
4/9/18,99.32548002,Central,Office Supplies
4/11/18,260.6380648,Central,Office Supplies
4/12/18,255.0395371,Central,Office Supplies
4/14/18,212.1144428,Central,Office Supplies
4/15/18,368.3238314,Central,Office Supplies
4/16/18,201.145605,Central,Office Supplies
4/17/18,359.3499836,Central,Office Supplies
4/20/18,288.6094194,Central,Office Supplies
4/21/18,305.3246181,Central,Office Supplies
4/24/18,437.7998462,Central,Office Supplies
4/27/18,345.2668427,Central,Office Supplies
4/30/18,314.393952,Central,Office Supplies
5/2/18,441.9175102,Central,Office Supplies
5/3/18,416.8786752,Central,Office Supplies
5/7/18,272.696281,Central,Office Supplies
5/8/18,406.4030559,Central,Office Supplies
5/11/18,262.1681219,Central,Office Supplies
5/12/18,255.4498553,Central,Office Supplies
5/13/18,385.1904838,Central,Office Supplies
5/14/18,192.1192982,Central,Office Supplies
5/15/18,325.3139166,Central,Office Supplies
5/18/18,187.7147869,Central,Office Supplies
5/19/18,185.7212173,Central,Office Supplies
5/20/18,321.2598877,Central,Office Supplies
5/22/18,275.5653074,Central,Office Supplies
5/23/18,261.7419559,Central,Office Supplies
5/25/18,162.7778749,Central,Office Supplies
5/28/18,133.7531279,Central,Office Supplies
5/29/18,281.0883496,Central,Office Supplies
6/3/18,334.6376656,Central,Office Supplies
6/4/18,154.9799963,Central,Office Supplies
6/5/18,300.1836411,Central,Office Supplies
6/8/18,187.270201,Central,Office Supplies
6/11/18,138.4775885,Central,Office Supplies
6/13/18,256.2516913,Central,Office Supplies
6/15/18,140.3533017,Central,Office Supplies
6/16/18,136.0236673,Central,Office Supplies
6/17/18,267.9199194,Central,Office Supplies
6/18/18,76.83604707,Central,Office Supplies
6/19/18,211.933754,Central,Office Supplies
6/22/18,80.61467335,Central,Office Supplies
6/24/18,220.0817762,Central,Office Supplies
6/26/18,182.9435716,Central,Office Supplies
6/27/18,174.7030524,Central,Office Supplies
6/29/18,90.04779576,Central,Office Supplies
7/5/18,255.3061849,Central,Office Supplies
7/8/18,384.3408772,Central,Office Supplies
7/9/18,223.0074276,Central,Office Supplies
7/10/18,386.9365588,Central,Office Supplies
7/11/18,394.2961529,Central,Office Supplies
7/12/18,391.7657551,Central,Office Supplies
7/13/18,330.3171585,Central,Office Supplies
7/16/18,332.6875579,Central,Office Supplies
