date,yhat,region,category
1/8/18,202.664953,Central,Technology
1/12/18,449.7633601,Central,Technology
1/15/18,83.97425862,Central,Technology
1/21/18,614.9048057,Central,Technology
1/30/18,1543.66076,Central,Technology
2/9/18,2722.150055,Central,Technology
2/12/18,2229.51663,Central,Technology
2/17/18,1892.376918,Central,Technology
2/21/18,1065.5325,Central,Technology
3/3/18,316.9485551,Central,Technology
3/7/18,6.037045828,Central,Technology
3/8/18,-186.3491546,Central,Technology
3/9/18,510.8408546,Central,Technology
3/13/18,246.696222,Central,Technology
3/14/18,295.0658179,Central,Technology
3/18/18,758.2003138,Central,Technology
3/25/18,909.2657786,Central,Technology
3/26/18,731.7648662,Central,Technology
3/27/18,640.1922397,Central,Technology
4/4/18,400.7226924,Central,Technology
4/12/18,13.49358606,Central,Technology
4/21/18,476.6575027,Central,Technology
4/23/18,291.5697873,Central,Technology
5/6/18,284.8312148,Central,Technology
5/7/18,102.2680013,Central,Technology
5/8/18,14.54420007,Central,Technology
5/11/18,455.3563342,Central,Technology
5/12/18,268.4117292,Central,Technology
5/13/18,266.3551764,Central,Technology
5/14/18,106.0146498,Central,Technology
5/15/18,40.80922281,Central,Technology
5/18/18,543.6343198,Central,Technology
5/19/18,373.1646088,Central,Technology
5/28/18,311.6380886,Central,Technology
6/5/18,114.2335073,Central,Technology
6/13/18,-30.56516953,Central,Technology
6/25/18,344.6846709,Central,Technology
6/26/18,303.2485235,Central,Technology
6/30/18,677.5261169,Central,Technology
7/1/18,684.4193643,Central,Technology
7/8/18,607.2068353,Central,Technology
7/9/18,400.1129092,Central,Technology
7/20/18,350.7963465,Central,Technology
7/23/18,-15.89331992,Central,Technology
7/29/18,416.1961435,Central,Technology
7/31/18,312.1519001,Central,Technology
8/6/18,856.6066647,Central,Technology
8/9/18,734.4505139,Central,Technology
8/12/18,1295.070097,Central,Technology
9/2/18,424.229808,Central,Technology
9/12/18,358.2097063,Central,Technology
9/15/18,746.374527,Central,Technology
9/16/18,775.4397426,Central,Technology
9/17/18,640.2507934,Central,Technology
9/22/18,935.5228069,Central,Technology
9/23/18,934.3147708,Central,Technology
9/24/18,766.5073666,Central,Technology
9/29/18,895.5910624,Central,Technology
10/4/18,305.1367459,Central,Technology
10/6/18,735.5372282,Central,Technology
10/8/18,513.4238992,Central,Technology
10/9/18,416.2726829,Central,Technology
10/19/18,764.0671881,Central,Technology
10/21/18,550.8154075,Central,Technology
10/23/18,286.0048896,Central,Technology
10/26/18,705.9048605,Central,Technology
10/27/18,503.4822432,Central,Technology
10/28/18,481.8665946,Central,Technology
10/31/18,186.6318069,Central,Technology
11/8/18,-100.1524822,Central,Technology
11/11/18,366.2523667,Central,Technology
11/12/18,198.5533579,Central,Technology
11/14/18,123.8187137,Central,Technology
11/17/18,411.6833555,Central,Technology
11/21/18,175.0970112,Central,Technology
11/23/18,639.6446053,Central,Technology
11/25/18,441.8094509,Central,Technology
11/26/18,269.7623213,Central,Technology
11/27/18,188.4172826,Central,Technology
11/30/18,622.4695329,Central,Technology
12/10/18,234.0309646,Central,Technology
12/11/18,166.0774641,Central,Technology
12/14/18,664.7284196,Central,Technology
12/18/18,309.2116002,Central,Technology
12/22/18,659.0124353,Central,Technology
12/23/18,666.2476996,Central,Technology
12/24/18,507.9569543,Central,Technology
12/25/18,437.1675573,Central,Technology
12/26/18,432.9812203,Central,Technology
12/27/18,217.997257,Central,Technology
12/28/18,876.5867369,Central,Technology
12/29/18,670.2358693,Central,Technology
12/30/18,639.2124816,Central,Technology
12/31/18,440.7344612,Central,Technology
1/1/19,328.9139203,Central,Technology
1/2/19,284.0344461,Central,Technology
1/3/19,29.94531775,Central,Technology
1/4/19,652.3034538,Central,Technology
1/5/19,413.8822325,Central,Technology
1/6/19,356.2019582,Central,Technology
1/7/19,137.6618201,Central,Technology
1/8/19,13.44811686,Central,Technology
1/9/19,-35.22286553,Central,Technology
1/10/19,-283.7424297,Central,Technology
1/11/19,354.1042258,Central,Technology
1/12/19,141.4229978,Central,Technology
1/13/19,119.822726,Central,Technology
1/14/19,-52.46559857,Central,Technology
1/15/19,-120.686979,Central,Technology
1/16/19,-104.319176,Central,Technology
1/17/19,-279.703028,Central,Technology
1/18/19,438.1853845,Central,Technology
1/19/19,311.0405536,Central,Technology
1/20/19,378.8665127,Central,Technology
1/21/19,298.1288957,Central,Technology
1/22/19,321.6946414,Central,Technology
1/23/19,428.1172018,Central,Technology
1/24/19,339.0513096,Central,Technology
1/25/19,1137.52791,Central,Technology
1/26/19,1083.307906,Central,Technology
1/27/19,1214.568664,Central,Technology
1/28/19,1186.102,Central,Technology
1/29/19,1249.296981,Central,Technology
1/30/19,1381.46427,Central,Technology
1/31/19,1303.284993,Central,Technology
2/1/19,2097.113804,Central,Technology
2/2/19,2022.353988,Central,Technology
